train_size_obs,train_log_loss_mean,val_log_loss_mean
38,0.5022569102355496,1.144973060377617
68,0.5908525025935212,1.1156756146973315
98,0.6372089999291288,1.0930233818298296
129,0.7401053309002762,1.0858074764012555
159,0.7343623806324365,1.0799620796017395
190,0.7605767942870911,1.0662018612234236
